963 3728
59 60 100
59 90 100
60 29 100
60 59 100
60 61 100
60 91 100
61 30 100
61 60 100
61 92 100
62 31 100
62 63 100
62 93 100
63 32 100
63 62 100
63 64 100
63 94 100
64 33 100
64 63 100
64 65 100
64 95 100
65 34 100
65 64 100
65 66 100
65 96 100
66 35 100
66 65 100
66 67 100
66 97 100
67 36 100
67 66 100
67 68 100
67 98 100
68 37 100
68 67 100
68 69 100
68 99 100
69 38 100
69 68 100
69 70 100
69 100 100
70 39 100
70 69 100
70 71 100
70 101 100
71 40 100
71 70 100
71 72 100
71 102 100
72 41 100
72 71 100
72 73 100
72 103 100
73 42 100
73 72 100
73 74 100
73 104 100
74 43 100
74 73 100
74 75 100
74 105 100
75 44 100
75 74 100
75 76 100
75 106 100
76 45 100
76 75 100
76 77 100
76 107 100
77 46 100
77 76 100
77 78 100
77 108 100
78 47 100
78 77 100
78 79 100
78 109 100
79 48 100
79 78 100
79 80 100
79 110 100
80 49 100
80 79 100
80 81 99
80 111 100
81 50 99
81 80 99
81 82 96
81 112 100
82 51 99
82 81 96
82 83 83
82 113 99
83 52 97
83 82 83
83 84 50
83 114 99
84 53 92
84 83 50
84 85 15
84 115 93
85 54 76
85 84 15
85 86 9
85 116 86
86 55 72
86 85 9
86 87 27
86 117 86
87 56 83
87 86 27
87 88 81
87 118 96
88 57 97
88 87 81
88 89 99
88 119 100
89 58 99
89 88 99
89 90 100
89 120 100
90 59 100
90 89 100
90 91 100
90 121 99
91 60 100
91 90 100
91 92 100
91 122 100
92 61 100
92 91 100
92 123 100
93 62 100
93 94 100
93 124 100
94 63 100
94 93 100
94 95 100
94 125 100
95 64 100
95 94 100
95 96 100
95 126 100
96 65 100
96 95 100
96 97 100
96 127 100
97 66 100
97 96 100
97 98 100
97 128 100
98 67 100
98 97 100
98 99 100
98 129 100
99 68 100
99 98 100
99 100 100
99 130 100
100 69 100
100 99 100
100 101 100
100 131 100
101 70 100
101 100 100
101 102 100
101 132 100
102 71 100
102 101 100
102 103 100
102 133 100
103 72 100
103 102 100
103 104 100
103 134 100
104 73 100
104 103 100
104 105 100
104 135 100
105 74 100
105 104 100
105 106 100
105 136 100
106 75 100
106 105 100
106 107 100
106 137 100
107 76 100
107 106 100
107 108 100
107 138 100
108 77 100
108 107 100
108 109 100
108 139 100
109 78 100
109 108 100
109 110 100
109 140 100
110 79 100
110 109 100
110 111 100
110 141 100
111 80 100
111 110 100
111 112 99
111 142 100
112 81 100
112 111 99
112 113 94
112 143 100
113 82 99
113 112 94
113 114 80
113 144 100
114 83 99
114 113 80
114 115 37
114 145 99
115 84 93
115 114 37
115 116 11
115 146 98
116 85 86
116 115 11
116 117 9
116 147 94
117 86 86
117 116 9
117 118 41
117 148 94
118 87 96
118 117 41
118 119 93
118 149 98
119 88 100
119 118 93
119 120 99
119 150 99
120 89 100
120 119 99
120 121 99
120 151 100
121 90 99
121 120 99
121 122 99
121 152 99
122 91 100
122 121 99
122 123 100
122 153 100
123 92 100
123 122 100
123 154 100
124 93 100
124 125 100
124 155 100
125 94 100
125 124 100
125 126 100
125 156 100
126 95 100
126 125 100
126 127 100
126 157 100
127 96 100
127 126 100
127 128 100
127 158 100
128 97 100
128 127 100
128 129 100
128 159 100
129 98 100
129 128 100
129 130 100
129 160 100
130 99 100
130 129 100
130 131 100
130 161 100
131 100 100
131 130 100
131 132 100
131 162 100
132 101 100
132 131 100
132 133 100
132 163 100
133 102 100
133 132 100
133 134 100
133 164 100
134 103 100
134 133 100
134 135 100
134 165 100
135 104 100
135 134 100
135 136 100
135 166 100
136 105 100
136 135 100
136 137 100
136 167 100
137 106 100
137 136 100
137 138 100
137 168 100
138 107 100
138 137 100
138 139 100
138 169 100
139 108 100
139 138 100
139 140 100
139 170 100
140 109 100
140 139 100
140 141 100
140 171 100
141 110 100
141 140 100
141 142 100
141 172 100
142 111 100
142 141 100
142 143 99
142 173 100
143 112 100
143 142 99
143 144 94
143 174 100
144 113 100
144 143 94
144 145 76
144 175 100
145 114 99
145 144 76
145 146 30
145 176 99
146 115 98
146 145 30
146 147 8
146 177 99
147 116 94
147 146 8
147 148 9
147 178 98
148 117 94
148 147 9
148 149 50
148 179 98
149 118 98
149 148 50
149 150 96
149 180 99
150 119 99
150 149 96
150 151 100
150 181 100
151 120 100
151 150 100
151 152 100
151 182 100
152 121 99
152 151 100
152 153 100
152 183 100
153 122 100
153 152 100
153 154 100
153 184 100
154 123 100
154 153 100
154 185 100
155 124 100
155 156 100
155 186 100
156 125 100
156 155 100
156 157 100
156 187 100
157 126 100
157 156 100
157 158 100
157 188 100
158 127 100
158 157 100
158 159 100
158 189 100
159 128 100
159 158 100
159 160 100
159 190 100
160 129 100
160 159 100
160 161 100
160 191 100
161 130 100
161 160 100
161 162 100
161 192 100
162 131 100
162 161 100
162 163 100
162 193 100
163 132 100
163 162 100
163 164 100
163 194 100
164 133 100
164 163 100
164 165 100
164 195 100
165 134 100
165 164 100
165 166 100
165 196 100
166 135 100
166 165 100
166 167 100
166 197 100
167 136 100
167 166 100
167 168 100
167 198 100
168 137 100
168 167 100
168 169 100
168 199 100
169 138 100
169 168 100
169 170 100
169 200 100
170 139 100
170 169 100
170 171 100
170 201 100
171 140 100
171 170 100
171 172 100
171 202 100
172 141 100
172 171 100
172 173 100
172 203 100
173 142 100
173 172 100
173 174 99
173 204 100
174 143 100
174 173 99
174 175 94
174 205 99
175 144 100
175 174 94
175 176 74
175 206 99
176 145 99
176 175 74
176 177 27
176 207 99
177 146 99
177 176 27
177 178 7
177 208 99
178 147 98
178 177 7
178 179 9
178 209 99
179 148 98
179 178 9
179 180 58
179 210 99
180 149 99
180 179 58
180 181 97
180 211 100
181 150 100
181 180 97
181 182 100
181 212 99
182 151 100
182 181 100
182 183 100
182 213 100
183 152 100
183 182 100
183 184 100
183 214 100
184 153 100
184 183 100
184 185 100
184 215 100
185 154 100
185 184 100
185 216 100
186 155 100
186 187 100
186 217 100
187 156 100
187 186 100
187 188 100
187 218 100
188 157 100
188 187 100
188 189 100
188 219 100
189 158 100
189 188 100
189 190 100
189 220 100
190 159 100
190 189 100
190 191 100
190 221 100
191 160 100
191 190 100
191 192 100
191 222 100
192 161 100
192 191 100
192 193 100
192 223 100
193 162 100
193 192 100
193 194 100
193 224 100
194 163 100
194 193 100
194 195 100
194 225 100
195 164 100
195 194 100
195 196 100
195 226 100
196 165 100
196 195 100
196 197 100
196 227 100
197 166 100
197 196 100
197 198 100
197 228 100
198 167 100
198 197 100
198 199 100
198 229 100
199 168 100
199 198 100
199 200 100
199 230 100
200 169 100
200 199 100
200 201 100
200 231 100
201 170 100
201 200 100
201 202 100
201 232 100
202 171 100
202 201 100
202 203 100
202 233 100
203 172 100
203 202 100
203 204 100
203 234 100
204 173 100
204 203 100
204 205 99
204 235 100
205 174 99
205 204 99
205 206 95
205 236 100
206 175 99
206 205 95
206 207 72
206 237 99
207 176 99
207 206 72
207 208 29
207 238 99
208 177 99
208 207 29
208 209 7
208 239 98
209 178 99
209 208 7
209 210 8
209 240 98
210 179 99
210 209 8
210 211 56
210 241 99
211 180 100
211 210 56
211 212 98
211 242 100
212 181 99
212 211 98
212 213 99
212 243 99
213 182 100
213 212 99
213 214 100
213 244 100
214 183 100
214 213 100
214 215 100
214 245 100
215 184 100
215 214 100
215 216 100
215 246 100
216 185 100
216 215 100
216 247 99
217 186 100
217 218 100
217 248 100
218 187 100
218 217 100
218 219 100
218 249 100
219 188 100
219 218 100
219 220 100
219 250 100
220 189 100
220 219 100
220 221 100
220 251 100
221 190 100
221 220 100
221 222 100
221 252 100
222 191 100
222 221 100
222 223 100
222 253 100
223 192 100
223 222 100
223 224 100
223 254 100
224 193 100
224 223 100
224 225 100
224 255 100
225 194 100
225 224 100
225 226 100
225 256 100
226 195 100
226 225 100
226 227 100
226 257 100
227 196 100
227 226 100
227 228 100
227 258 100
228 197 100
228 227 100
228 229 100
228 259 100
229 198 100
229 228 100
229 230 100
229 260 100
230 199 100
230 229 100
230 231 100
230 261 100
231 200 100
231 230 100
231 232 100
231 262 100
232 201 100
232 231 100
232 233 100
232 263 100
233 202 100
233 232 100
233 234 100
233 264 100
234 203 100
234 233 100
234 235 100
234 265 100
235 204 100
235 234 100
235 236 99
235 266 100
236 205 100
236 235 99
236 237 97
236 267 99
237 206 99
237 236 97
237 238 76
237 268 99
238 207 99
238 237 76
238 239 30
238 269 99
239 208 98
239 238 30
239 240 7
239 270 98
240 209 98
240 239 7
240 241 7
240 271 98
241 210 99
241 240 7
241 242 52
241 272 98
242 211 100
242 241 52
242 243 97
242 273 99
243 212 99
243 242 97
243 244 100
243 274 99
244 213 100
244 243 100
244 245 100
244 275 100
245 214 100
245 244 100
245 246 100
245 276 100
246 215 100
246 245 100
246 247 99
246 277 100
247 216 99
247 246 99
247 278 99
248 217 100
248 249 100
248 279 100
249 218 100
249 248 100
249 250 100
249 280 100
250 219 100
250 249 100
250 251 100
250 281 100
251 220 100
251 250 100
251 252 100
251 282 100
252 221 100
252 251 100
252 253 100
252 283 100
253 222 100
253 252 100
253 254 100
253 284 100
254 223 100
254 253 100
254 255 100
254 285 100
255 224 100
255 254 100
255 256 100
255 286 100
256 225 100
256 255 100
256 257 100
256 287 100
257 226 100
257 256 100
257 258 100
257 288 100
258 227 100
258 257 100
258 259 100
258 289 100
259 228 100
259 258 100
259 260 100
259 290 100
260 229 100
260 259 100
260 261 100
260 291 100
261 230 100
261 260 100
261 262 100
261 292 100
262 231 100
262 261 100
262 263 100
262 293 100
263 232 100
263 262 100
263 264 100
263 294 100
264 233 100
264 263 100
264 265 100
264 295 100
265 234 100
265 264 100
265 266 100
265 296 100
266 235 100
266 265 100
266 267 100
266 297 100
267 236 99
267 266 100
267 268 98
267 298 100
268 237 99
268 267 98
268 269 78
268 299 99
269 238 99
269 268 78
269 270 35
269 300 99
270 239 98
270 269 35
270 271 7
270 301 97
271 240 98
271 270 7
271 272 7
271 302 94
272 241 98
272 271 7
272 273 46
272 303 97
273 242 99
273 272 46
273 274 95
273 304 99
274 243 99
274 273 95
274 275 99
274 305 100
275 244 100
275 274 99
275 276 100
275 306 100
276 245 100
276 275 100
276 277 100
276 307 100
277 246 100
277 276 100
277 278 100
277 308 100
278 247 99
278 277 100
278 309 100
279 248 100
279 280 100
279 310 100
280 249 100
280 279 100
280 281 100
280 311 100
281 250 100
281 280 100
281 282 100
281 312 100
282 251 100
282 281 100
282 283 100
282 313 100
283 252 100
283 282 100
283 284 100
283 314 100
284 253 100
284 283 100
284 285 100
284 315 100
285 254 100
285 284 100
285 286 100
285 316 100
286 255 100
286 285 100
286 287 100
286 317 100
287 256 100
287 286 100
287 288 100
287 318 100
288 257 100
288 287 100
288 289 100
288 319 100
289 258 100
289 288 100
289 290 100
289 320 100
290 259 100
290 289 100
290 291 100
290 321 100
291 260 100
291 290 100
291 292 100
291 322 100
292 261 100
292 291 100
292 293 100
292 323 100
293 262 100
293 292 100
293 294 100
293 324 100
294 263 100
294 293 100
294 295 100
294 325 100
295 264 100
295 294 100
295 296 100
295 326 100
296 265 100
296 295 100
296 297 100
296 327 100
297 266 100
297 296 100
297 298 100
297 328 100
298 267 100
298 297 100
298 299 99
298 329 100
299 268 99
299 298 99
299 300 81
299 330 99
300 269 99
300 299 81
300 301 41
300 331 98
301 270 97
301 300 41
301 302 8
301 332 95
302 271 94
302 301 8
302 303 5
302 333 92
303 272 97
303 302 5
303 304 37
303 334 96
304 273 99
304 303 37
304 305 93
304 335 99
305 274 100
305 304 93
305 306 99
305 336 100
306 275 100
306 305 99
306 307 100
306 337 100
307 276 100
307 306 100
307 308 100
307 338 100
308 277 100
308 307 100
308 309 100
308 339 100
309 278 100
309 308 100
309 340 100
310 279 100
310 311 100
310 341 100
311 280 100
311 310 100
311 312 100
311 342 100
312 281 100
312 311 100
312 313 100
312 343 100
313 282 100
313 312 100
313 314 100
313 344 100
314 283 100
314 313 100
314 315 100
314 345 100
315 284 100
315 314 100
315 316 100
315 346 100
316 285 100
316 315 100
316 317 100
316 347 100
317 286 100
317 316 100
317 318 100
317 348 100
318 287 100
318 317 100
318 319 100
318 349 100
319 288 100
319 318 100
319 320 100
319 350 100
320 289 100
320 319 100
320 321 100
320 351 100
321 290 100
321 320 100
321 322 100
321 352 100
322 291 100
322 321 100
322 323 100
322 353 100
323 292 100
323 322 100
323 324 100
323 354 100
324 293 100
324 323 100
324 325 100
324 355 100
325 294 100
325 324 100
325 326 100
325 356 100
326 295 100
326 325 100
326 327 100
326 357 100
327 296 100
327 326 100
327 328 100
327 358 100
328 297 100
328 327 100
328 329 100
328 359 100
329 298 100
329 328 100
329 330 99
329 360 100
330 299 99
330 329 99
330 331 88
330 361 99
331 300 98
331 330 88
331 332 48
331 362 98
332 301 95
332 331 48
332 333 11
332 363 96
333 302 92
333 332 11
333 334 4
333 364 91
334 303 96
334 333 4
334 335 27
334 365 93
335 304 99
335 334 27
335 336 91
335 366 99
336 305 100
336 335 91
336 337 99
336 367 99
337 306 100
337 336 99
337 338 100
337 368 100
338 307 100
338 337 100
338 339 100
338 369 100
339 308 100
339 338 100
339 340 100
339 370 100
340 309 100
340 339 100
340 371 100
341 310 100
341 342 100
341 372 100
342 311 100
342 341 100
342 343 100
342 373 100
343 312 100
343 342 100
343 344 100
343 374 100
344 313 100
344 343 100
344 345 100
344 375 100
345 314 100
345 344 100
345 346 100
345 376 100
346 315 100
346 345 100
346 347 100
346 377 100
347 316 100
347 346 100
347 348 100
347 378 100
348 317 100
348 347 100
348 349 100
348 379 100
349 318 100
349 348 100
349 350 100
349 380 100
350 319 100
350 349 100
350 351 100
350 381 100
351 320 100
351 350 100
351 352 100
351 382 100
352 321 100
352 351 100
352 353 100
352 383 100
353 322 100
353 352 100
353 354 100
353 384 100
354 323 100
354 353 100
354 355 100
354 385 100
355 324 100
355 354 100
355 356 100
355 386 100
356 325 100
356 355 100
356 357 100
356 387 100
357 326 100
357 356 100
357 358 100
357 388 100
358 327 100
358 357 100
358 359 100
358 389 100
359 328 100
359 358 100
359 360 100
359 390 100
360 329 100
360 359 100
360 361 99
360 391 100
361 330 99
361 360 99
361 362 93
361 392 100
362 331 98
362 361 93
362 363 54
362 393 99
363 332 96
363 362 54
363 364 15
363 394 98
364 333 91
364 363 15
364 365 3
364 395 94
365 334 93
365 364 3
365 366 18
365 396 93
366 335 99
366 365 18
366 367 86
366 397 98
367 336 99
367 366 86
367 368 99
367 398 99
368 337 100
368 367 99
368 369 100
368 399 100
369 338 100
369 368 100
369 370 100
369 400 100
370 339 100
370 369 100
370 371 100
370 401 100
371 340 100
371 370 100
371 402 100
372 341 100
372 373 100
372 403 100
373 342 100
373 372 100
373 374 100
373 404 100
374 343 100
374 373 100
374 375 100
374 405 100
375 344 100
375 374 100
375 376 100
375 406 100
376 345 100
376 375 100
376 377 100
376 407 100
377 346 100
377 376 100
377 378 100
377 408 100
378 347 100
378 377 100
378 379 100
378 409 100
379 348 100
379 378 100
379 380 100
379 410 100
380 349 100
380 379 100
380 381 100
380 411 100
381 350 100
381 380 100
381 382 100
381 412 100
382 351 100
382 381 100
382 383 100
382 413 100
383 352 100
383 382 100
383 384 100
383 414 100
384 353 100
384 383 100
384 385 100
384 415 100
385 354 100
385 384 100
385 386 100
385 416 100
386 355 100
386 385 100
386 387 100
386 417 100
387 356 100
387 386 100
387 388 100
387 418 100
388 357 100
388 387 100
388 389 100
388 419 100
389 358 100
389 388 100
389 390 100
389 420 100
390 359 100
390 389 100
390 391 100
390 421 100
391 360 100
391 390 100
391 392 99
391 422 100
392 361 100
392 391 99
392 393 95
392 423 99
393 362 99
393 392 95
393 394 62
393 424 99
394 363 98
394 393 62
394 395 19
394 425 98
395 364 94
395 394 19
395 396 3
395 426 96
396 365 93
396 395 3
396 397 12
396 427 94
397 366 98
397 396 12
397 398 80
397 428 97
398 367 99
398 397 80
398 399 99
398 429 100
399 368 100
399 398 99
399 400 100
399 430 100
400 369 100
400 399 100
400 401 100
400 431 100
401 370 100
401 400 100
401 402 100
401 432 100
402 371 100
402 401 100
402 433 100
403 372 100
403 404 100
403 434 100
404 373 100
404 403 100
404 405 100
404 435 100
405 374 100
405 404 100
405 406 100
405 436 100
406 375 100
406 405 100
406 407 100
406 437 100
407 376 100
407 406 100
407 408 100
407 438 100
408 377 100
408 407 100
408 409 100
408 439 100
409 378 100
409 408 100
409 410 100
409 440 100
410 379 100
410 409 100
410 411 100
410 441 100
411 380 100
411 410 100
411 412 100
411 442 100
412 381 100
412 411 100
412 413 100
412 443 100
413 382 100
413 412 100
413 414 100
413 444 100
414 383 100
414 413 100
414 415 100
414 445 100
415 384 100
415 414 100
415 416 100
415 446 100
416 385 100
416 415 100
416 417 100
416 447 100
417 386 100
417 416 100
417 418 100
417 448 100
418 387 100
418 417 100
418 419 100
418 449 100
419 388 100
419 418 100
419 420 100
419 450 100
420 389 100
420 419 100
420 421 100
420 451 100
421 390 100
421 420 100
421 422 100
421 452 100
422 391 100
422 421 100
422 423 99
422 453 100
423 392 99
423 422 99
423 424 96
423 454 100
424 393 99
424 423 96
424 425 68
424 455 99
425 394 98
425 424 68
425 426 23
425 456 98
426 395 96
426 425 23
426 427 4
426 457 96
427 396 94
427 426 4
427 428 10
427 458 94
428 397 97
428 427 10
428 429 66
428 459 98
429 398 100
429 428 66
429 430 99
429 460 99
430 399 100
430 429 99
430 431 100
430 461 100
431 400 100
431 430 100
431 432 100
431 462 100
432 401 100
432 431 100
432 433 100
432 463 100
433 402 100
433 432 100
433 464 100
434 403 100
434 435 100
434 465 100
435 404 100
435 434 100
435 436 100
435 466 100
436 405 100
436 435 100
436 437 100
436 467 100
437 406 100
437 436 100
437 438 100
437 468 100
438 407 100
438 437 100
438 439 100
438 469 100
439 408 100
439 438 100
439 440 100
439 470 100
440 409 100
440 439 100
440 441 100
440 471 100
441 410 100
441 440 100
441 442 100
441 472 100
442 411 100
442 441 100
442 443 100
442 473 100
443 412 100
443 442 100
443 444 100
443 474 100
444 413 100
444 443 100
444 445 100
444 475 100
445 414 100
445 444 100
445 446 100
445 476 100
446 415 100
446 445 100
446 447 100
446 477 100
447 416 100
447 446 100
447 448 100
447 478 100
448 417 100
448 447 100
448 449 100
448 479 100
449 418 100
449 448 100
449 450 100
449 480 100
450 419 100
450 449 100
450 451 100
450 481 100
451 420 100
451 450 100
451 452 100
451 482 100
452 421 100
452 451 100
452 453 100
452 483 100
453 422 100
453 452 100
453 454 99
453 484 100
454 423 100
454 453 99
454 455 98
454 485 99
455 424 99
455 454 98
455 456 74
455 486 99
456 425 98
456 455 74
456 457 27
456 487 98
457 426 96
457 456 27
457 458 5
457 488 95
458 427 94
458 457 5
458 459 7
458 489 96
459 428 98
459 458 7
459 460 58
459 490 98
460 429 99
460 459 58
460 461 98
460 491 99
461 430 100
461 460 98
461 462 100
461 492 100
462 431 100
462 461 100
462 463 100
462 493 100
463 432 100
463 462 100
463 464 100
463 494 100
464 433 100
464 463 100
464 495 100
465 434 100
465 466 100
465 496 100
466 435 100
466 465 100
466 467 100
466 497 100
467 436 100
467 466 100
467 468 100
467 498 100
468 437 100
468 467 100
468 469 100
468 499 100
469 438 100
469 468 100
469 470 100
469 500 100
470 439 100
470 469 100
470 471 100
470 501 100
471 440 100
471 470 100
471 472 100
471 502 100
472 441 100
472 471 100
472 473 100
472 503 100
473 442 100
473 472 100
473 474 100
473 504 100
474 443 100
474 473 100
474 475 100
474 505 100
475 444 100
475 474 100
475 476 100
475 506 100
476 445 100
476 475 100
476 477 100
476 507 100
477 446 100
477 476 100
477 478 100
477 508 100
478 447 100
478 477 100
478 479 100
478 509 100
479 448 100
479 478 100
479 480 100
479 510 100
480 449 100
480 479 100
480 481 100
480 511 100
481 450 100
481 480 100
481 482 100
481 512 100
482 451 100
482 481 100
482 483 100
482 513 100
483 452 100
483 482 100
483 484 100
483 514 100
484 453 100
484 483 100
484 485 100
484 515 100
485 454 99
485 484 100
485 486 98
485 516 100
486 455 99
486 485 98
486 487 80
486 517 99
487 456 98
487 486 80
487 488 34
487 518 99
488 457 95
488 487 34
488 489 4
488 519 99
489 458 96
489 488 4
489 490 6
489 520 98
490 459 98
490 489 6
490 491 50
490 521 99
491 460 99
491 490 50
491 492 98
491 522 99
492 461 100
492 491 98
492 493 100
492 523 100
493 462 100
493 492 100
493 494 100
493 524 100
494 463 100
494 493 100
494 495 100
494 525 100
495 464 100
495 494 100
495 526 100
496 465 100
496 497 100
496 527 100
497 466 100
497 496 100
497 498 100
497 528 100
498 467 100
498 497 100
498 499 100
498 529 100
499 468 100
499 498 100
499 500 100
499 530 100
500 469 100
500 499 100
500 501 100
500 531 100
501 470 100
501 500 100
501 502 100
501 532 100
502 471 100
502 501 100
502 503 100
502 533 100
503 472 100
503 502 100
503 504 100
503 534 100
504 473 100
504 503 100
504 505 100
504 535 100
505 474 100
505 504 100
505 506 100
505 536 100
506 475 100
506 505 100
506 507 100
506 537 100
507 476 100
507 506 100
507 508 100
507 538 100
508 477 100
508 507 100
508 509 100
508 539 100
509 478 100
509 508 100
509 510 100
509 540 100
510 479 100
510 509 100
510 511 100
510 541 100
511 480 100
511 510 100
511 512 100
511 542 100
512 481 100
512 511 100
512 513 100
512 543 100
513 482 100
513 512 100
513 514 100
513 544 100
514 483 100
514 513 100
514 515 100
514 545 100
515 484 100
515 514 100
515 516 100
515 546 100
516 485 100
516 515 100
516 517 99
516 547 100
517 486 99
517 516 99
517 518 81
517 548 100
518 487 99
518 517 81
518 519 37
518 549 99
519 488 99
519 518 37
519 520 5
519 550 99
520 489 98
520 519 5
520 521 4
520 551 99
521 490 99
521 520 4
521 522 46
521 552 99
522 491 99
522 521 46
522 523 97
522 553 100
523 492 100
523 522 97
523 524 100
523 554 100
524 493 100
524 523 100
524 525 100
524 555 100
525 494 100
525 524 100
525 526 100
525 556 100
526 495 100
526 525 100
526 557 100
527 496 100
527 528 100
527 558 100
528 497 100
528 527 100
528 529 100
528 559 100
529 498 100
529 528 100
529 530 100
529 560 100
530 499 100
530 529 100
530 531 100
530 561 100
531 500 100
531 530 100
531 532 100
531 562 100
532 501 100
532 531 100
532 533 100
532 563 100
533 502 100
533 532 100
533 534 100
533 564 100
534 503 100
534 533 100
534 535 100
534 565 100
535 504 100
535 534 100
535 536 100
535 566 100
536 505 100
536 535 100
536 537 100
536 567 100
537 506 100
537 536 100
537 538 100
537 568 100
538 507 100
538 537 100
538 539 100
538 569 100
539 508 100
539 538 100
539 540 100
539 570 100
540 509 100
540 539 100
540 541 100
540 571 100
541 510 100
541 540 100
541 542 100
541 572 100
542 511 100
542 541 100
542 543 100
542 573 100
543 512 100
543 542 100
543 544 100
543 574 100
544 513 100
544 543 100
544 545 100
544 575 99
545 514 100
545 544 100
545 546 100
545 576 100
546 515 100
546 545 100
546 547 100
546 577 100
547 516 100
547 546 100
547 548 99
547 578 100
548 517 100
548 547 99
548 549 83
548 579 100
549 518 99
549 548 83
549 550 39
549 580 99
550 519 99
550 549 39
550 551 6
550 581 99
551 520 99
551 550 6
551 552 4
551 582 100
552 521 99
552 551 4
552 553 42
552 583 99
553 522 100
553 552 42
553 554 97
553 584 99
554 523 100
554 553 97
554 555 100
554 585 100
555 524 100
555 554 100
555 556 100
555 586 100
556 525 100
556 555 100
556 557 100
556 587 100
557 526 100
557 556 100
557 588 100
558 527 100
558 559 100
558 589 100
559 528 100
559 558 100
559 560 100
559 590 100
560 529 100
560 559 100
560 561 100
560 591 100
561 530 100
561 560 100
561 562 100
561 592 99
562 531 100
562 561 100
562 563 100
562 593 100
563 532 100
563 562 100
563 564 100
563 594 100
564 533 100
564 563 100
564 565 100
564 595 100
565 534 100
565 564 100
565 566 100
565 596 100
566 535 100
566 565 100
566 567 100
566 597 100
567 536 100
567 566 100
567 568 100
567 598 100
568 537 100
568 567 100
568 569 100
568 599 100
569 538 100
569 568 100
569 570 100
569 600 100
570 539 100
570 569 100
570 571 100
570 601 100
571 540 100
571 570 100
571 572 100
571 602 100
572 541 100
572 571 100
572 573 100
572 603 100
573 542 100
573 572 100
573 574 100
573 604 100
574 543 100
574 573 100
574 575 99
574 605 100
575 544 99
575 574 99
575 576 99
575 606 100
576 545 100
576 575 99
576 577 100
576 607 100
577 546 100
577 576 100
577 578 100
577 608 100
578 547 100
578 577 100
578 579 99
578 609 100
579 548 100
579 578 99
579 580 85
579 610 100
580 549 99
580 579 85
580 581 39
580 611 100
581 550 99
581 580 39
581 582 5
581 612 100
582 551 100
582 581 5
582 583 4
582 613 99
583 552 99
583 582 4
583 584 42
583 614 99
584 553 99
584 583 42
584 585 96
584 615 100
585 554 100
585 584 96
585 586 100
585 616 100
586 555 100
586 585 100
586 587 100
586 617 100
587 556 100
587 586 100
587 588 100
587 618 100
588 557 100
588 587 100
588 619 100
589 558 100
589 590 100
589 620 99
590 559 100
590 589 100
590 591 100
590 621 100
591 560 100
591 590 100
591 592 99
591 622 100
592 561 99
592 591 99
592 593 99
592 623 100
593 562 100
593 592 99
593 594 100
593 624 100
594 563 100
594 593 100
594 595 100
594 625 100
595 564 100
595 594 100
595 596 100
595 626 100
596 565 100
596 595 100
596 597 100
596 627 100
597 566 100
597 596 100
597 598 100
597 628 100
598 567 100
598 597 100
598 599 100
598 629 100
599 568 100
599 598 100
599 600 100
599 630 99
600 569 100
