902 3487
237 238 100
237 267 100
238 208 100
238 237 100
238 239 99
238 268 100
239 209 99
239 238 99
239 269 99
240 210 100
240 241 100
240 270 100
241 211 100
241 240 100
241 242 100
241 271 100
242 212 100
242 241 100
242 243 100
242 272 100
243 213 100
243 242 100
243 244 100
243 273 100
244 214 100
244 243 100
244 245 100
244 274 100
245 215 100
245 244 100
245 246 100
245 275 100
246 216 100
246 245 100
246 247 100
246 276 100
247 217 100
247 246 100
247 248 100
247 277 100
248 218 100
248 247 100
248 249 100
248 278 100
249 219 100
249 248 100
249 250 100
249 279 100
250 220 100
250 249 100
250 251 100
250 280 100
251 221 100
251 250 100
251 252 100
251 281 100
252 222 100
252 251 100
252 253 100
252 282 100
253 223 100
253 252 100
253 254 100
253 283 100
254 224 100
254 253 100
254 255 100
254 284 100
255 225 100
255 254 100
255 256 100
255 285 100
256 226 100
256 255 100
256 257 99
256 286 100
257 227 99
257 256 99
257 258 99
257 287 99
258 228 100
258 257 99
258 259 100
258 288 100
259 229 99
259 258 100
259 260 88
259 289 100
260 230 99
260 259 88
260 261 52
260 290 99
261 231 98
261 260 52
261 262 7
261 291 98
262 232 97
262 261 7
262 263 3
262 292 91
263 233 96
263 262 3
263 264 29
263 293 94
264 234 99
264 263 29
264 265 93
264 294 99
265 235 99
265 264 93
265 266 99
265 295 99
266 236 100
266 265 99
266 267 100
266 296 100
267 237 100
267 266 100
267 268 100
267 297 100
268 238 100
268 267 100
268 269 100
268 298 100
269 239 99
269 268 100
269 299 100
270 240 100
270 271 100
270 300 100
271 241 100
271 270 100
271 272 100
271 301 100
272 242 100
272 271 100
272 273 100
272 302 100
273 243 100
273 272 100
273 274 100
273 303 100
274 244 100
274 273 100
274 275 100
274 304 100
275 245 100
275 274 100
275 276 100
275 305 100
276 246 100
276 275 100
276 277 100
276 306 100
277 247 100
277 276 100
277 278 100
277 307 100
278 248 100
278 277 100
278 279 100
278 308 100
279 249 100
279 278 100
279 280 100
279 309 100
280 250 100
280 279 100
280 281 100
280 310 100
281 251 100
281 280 100
281 282 100
281 311 100
282 252 100
282 281 100
282 283 100
282 312 100
283 253 100
283 282 100
283 284 100
283 313 100
284 254 100
284 283 100
284 285 100
284 314 100
285 255 100
285 284 100
285 286 100
285 315 100
286 256 100
286 285 100
286 287 100
286 316 100
287 257 99
287 286 100
287 288 100
287 317 100
288 258 100
288 287 100
288 289 100
288 318 100
289 259 100
289 288 100
289 290 93
289 319 100
290 260 99
290 289 93
290 291 56
290 320 99
291 261 98
291 290 56
291 292 11
291 321 98
292 262 91
292 291 11
292 293 2
292 322 91
293 263 94
293 292 2
293 294 21
293 323 95
294 264 99
294 293 21
294 295 86
294 324 99
295 265 99
295 294 86
295 296 99
295 325 99
296 266 100
296 295 99
296 297 100
296 326 100
297 267 100
297 296 100
297 298 100
297 327 100
298 268 100
298 297 100
298 299 100
298 328 100
299 269 100
299 298 100
299 329 100
300 270 100
300 301 100
300 330 100
301 271 100
301 300 100
301 302 100
301 331 100
302 272 100
302 301 100
302 303 100
302 332 100
303 273 100
303 302 100
303 304 100
303 333 100
304 274 100
304 303 100
304 305 100
304 334 100
305 275 100
305 304 100
305 306 100
305 335 100
306 276 100
306 305 100
306 307 100
306 336 100
307 277 100
307 306 100
307 308 100
307 337 100
308 278 100
308 307 100
308 309 100
308 338 100
309 279 100
309 308 100
309 310 100
309 339 100
310 280 100
310 309 100
310 311 100
310 340 100
311 281 100
311 310 100
311 312 100
311 341 100
312 282 100
312 311 100
312 313 100
312 342 100
313 283 100
313 312 100
313 314 100
313 343 100
314 284 100
314 313 100
314 315 100
314 344 100
315 285 100
315 314 100
315 316 100
315 345 100
316 286 100
316 315 100
316 317 100
316 346 99
317 287 100
317 316 100
317 318 100
317 347 100
318 288 100
318 317 100
318 319 100
318 348 100
319 289 100
319 318 100
319 320 97
319 349 99
320 290 99
320 319 97
320 321 60
320 350 99
321 291 98
321 320 60
321 322 18
321 351 96
322 292 91
322 321 18
322 323 1
322 352 92
323 293 95
323 322 1
323 324 14
323 353 89
324 294 99
324 323 14
324 325 83
324 354 98
325 295 99
325 324 83
325 326 99
325 355 99
326 296 100
326 325 99
326 327 100
326 356 100
327 297 100
327 326 100
327 328 100
327 357 100
328 298 100
328 327 100
328 329 100
328 358 100
329 299 100
329 328 100
329 359 100
330 300 100
330 331 100
330 360 100
331 301 100
331 330 100
331 332 100
331 361 100
332 302 100
332 331 100
332 333 100
332 362 100
333 303 100
333 332 100
333 334 100
333 363 100
334 304 100
334 333 100
334 335 100
334 364 100
335 305 100
335 334 100
335 336 100
335 365 100
336 306 100
336 335 100
336 337 100
336 366 100
337 307 100
337 336 100
337 338 100
337 367 100
338 308 100
338 337 100
338 339 100
338 368 100
339 309 100
339 338 100
339 340 100
339 369 100
340 310 100
340 339 100
340 341 100
340 370 100
341 311 100
341 340 100
341 342 100
341 371 100
342 312 100
342 341 100
342 343 100
342 372 100
343 313 100
343 342 100
343 344 100
343 373 100
344 314 100
344 343 100
344 345 100
344 374 100
345 315 100
345 344 100
345 346 99
345 375 100
346 316 99
346 345 99
346 347 99
346 376 99
347 317 100
347 346 99
347 348 100
347 377 100
348 318 100
348 347 100
348 349 99
348 378 100
349 319 99
349 348 99
349 350 99
349 379 99
350 320 99
350 349 99
350 351 70
350 380 100
351 321 96
351 350 70
351 352 23
351 381 99
352 322 92
352 351 23
352 353 2
352 382 97
353 323 89
353 352 2
353 354 7
353 383 92
354 324 98
354 353 7
354 355 78
354 384 95
355 325 99
355 354 78
355 356 99
355 385 99
356 326 100
356 355 99
356 357 100
356 386 100
357 327 100
357 356 100
357 358 100
357 387 100
358 328 100
358 357 100
358 359 100
358 388 100
359 329 100
359 358 100
359 389 100
360 330 100
360 361 100
360 390 100
361 331 100
361 360 100
361 362 100
361 391 100
362 332 100
362 361 100
362 363 100
362 392 100
363 333 100
363 362 100
363 364 100
363 393 100
364 334 100
364 363 100
364 365 100
364 394 100
365 335 100
365 364 100
365 366 100
365 395 100
366 336 100
366 365 100
366 367 100
366 396 100
367 337 100
367 366 100
367 368 100
367 397 100
368 338 100
368 367 100
368 369 100
368 398 100
369 339 100
369 368 100
369 370 100
369 399 100
370 340 100
370 369 100
370 371 100
370 400 100
371 341 100
371 370 100
371 372 100
371 401 100
372 342 100
372 371 100
372 373 100
372 402 100
373 343 100
373 372 100
373 374 100
373 403 100
374 344 100
374 373 100
374 375 100
374 404 100
375 345 100
375 374 100
375 376 100
375 405 100
376 346 99
376 375 100
376 377 100
376 406 99
377 347 100
377 376 100
377 378 100
377 407 100
378 348 100
378 377 100
378 379 100
378 408 100
379 349 99
379 378 100
379 380 99
379 409 100
380 350 100
380 379 99
380 381 76
380 410 99
381 351 99
381 380 76
381 382 29
381 411 98
382 352 97
382 381 29
382 383 3
382 412 95
383 353 92
383 382 3
383 384 6
383 413 93
384 354 95
384 383 6
384 385 62
384 414 98
385 355 99
385 384 62
385 386 98
385 415 99
386 356 100
386 385 98
386 387 100
386 416 100
387 357 100
387 386 100
387 388 100
387 417 100
388 358 100
388 387 100
388 389 100
388 418 100
389 359 100
389 388 100
389 419 100
390 360 100
390 391 100
390 420 100
391 361 100
391 390 100
391 392 100
391 421 100
392 362 100
392 391 100
392 393 100
392 422 100
393 363 100
393 392 100
393 394 100
393 423 100
394 364 100
394 393 100
394 395 100
394 424 100
395 365 100
395 394 100
395 396 100
395 425 100
396 366 100
396 395 100
396 397 100
396 426 100
397 367 100
397 396 100
397 398 100
397 427 100
398 368 100
398 397 100
398 399 100
398 428 100
399 369 100
399 398 100
399 400 100
399 429 100
400 370 100
400 399 100
400 401 100
400 430 100
401 371 100
401 400 100
401 402 100
401 431 100
402 372 100
402 401 100
402 403 100
402 432 100
403 373 100
403 402 100
403 404 100
403 433 100
404 374 100
404 403 100
404 405 100
404 434 100
405 375 100
405 404 100
405 406 99
405 435 100
406 376 99
406 405 99
406 407 99
406 436 99
407 377 100
407 406 99
407 408 100
407 437 100
408 378 100
408 407 100
408 409 100
408 438 100
409 379 100
409 408 100
409 410 99
409 439 100
410 380 99
410 409 99
410 411 81
410 440 99
411 381 98
411 410 81
411 412 35
411 441 99
412 382 95
412 411 35
412 413 4
412 442 97
413 383 93
413 412 4
413 414 4
413 443 95
414 384 98
414 413 4
414 415 52
414 444 98
415 385 99
415 414 52
415 416 98
415 445 99
416 386 100
416 415 98
416 417 100
416 446 100
417 387 100
417 416 100
417 418 100
417 447 100
418 388 100
418 417 100
418 419 100
418 448 100
419 389 100
419 418 100
419 449 100
420 390 100
420 421 100
420 450 100
421 391 100
421 420 100
421 422 100
421 451 100
422 392 100
422 421 100
422 423 100
422 452 100
423 393 100
423 422 100
423 424 100
423 453 100
424 394 100
424 423 100
424 425 100
424 454 100
425 395 100
425 424 100
425 426 100
425 455 100
426 396 100
426 425 100
426 427 100
426 456 100
427 397 100
427 426 100
427 428 100
427 457 100
428 398 100
428 427 100
428 429 100
428 458 100
429 399 100
429 428 100
429 430 100
429 459 100
430 400 100
430 429 100
430 431 100
430 460 100
431 401 100
431 430 100
431 432 100
431 461 100
432 402 100
432 431 100
432 433 100
432 462 100
433 403 100
433 432 100
433 434 100
433 463 100
434 404 100
434 433 100
434 435 100
434 464 100
435 405 100
435 434 100
435 436 100
435 465 100
436 406 99
436 435 100
436 437 100
436 466 100
437 407 100
437 436 100
437 438 100
437 467 100
438 408 100
438 437 100
438 439 100
438 468 100
439 409 100
439 438 100
439 440 99
439 469 100
440 410 99
440 439 99
440 441 86
440 470 99
441 411 99
441 440 86
441 442 41
441 471 99
442 412 97
442 441 41
442 443 5
442 472 97
443 413 95
443 442 5
443 444 3
443 473 96
444 414 98
444 443 3
444 445 42
444 474 98
445 415 99
445 444 42
445 446 97
445 475 99
446 416 100
446 445 97
446 447 100
446 476 100
447 417 100
447 446 100
447 448 100
447 477 100
448 418 100
448 447 100
448 449 100
448 478 100
449 419 100
449 448 100
449 479 100
450 420 100
450 451 100
450 480 100
451 421 100
451 450 100
451 452 100
451 481 100
452 422 100
452 451 100
452 453 100
452 482 100
453 423 100
453 452 100
453 454 100
453 483 100
454 424 100
454 453 100
454 455 100
454 484 100
455 425 100
455 454 100
455 456 100
455 485 100
456 426 100
456 455 100
456 457 100
456 486 100
457 427 100
457 456 100
457 458 100
457 487 100
458 428 100
458 457 100
458 459 100
458 488 100
459 429 100
459 458 100
459 460 100
459 489 100
460 430 100
460 459 100
460 461 100
460 490 100
461 431 100
461 460 100
461 462 100
461 491 100
462 432 100
462 461 100
462 463 100
462 492 100
463 433 100
463 462 100
463 464 100
463 493 100
464 434 100
464 463 100
464 465 100
464 494 100
465 435 100
465 464 100
465 466 100
465 495 100
466 436 100
466 465 100
466 467 100
466 496 100
467 437 100
467 466 100
467 468 100
467 497 100
468 438 100
468 467 100
468 469 100
468 498 100
469 439 100
469 468 100
469 470 100
469 499 100
470 440 99
470 469 100
470 471 89
470 500 100
471 441 99
471 470 89
471 472 48
471 501 99
472 442 97
472 471 48
472 473 5
472 502 99
473 443 96
473 472 5
473 474 2
473 503 98
474 444 98
474 473 2
474 475 35
474 504 99
475 445 99
475 474 35
475 476 95
475 505 100
476 446 100
476 475 95
476 477 100
476 506 100
477 447 100
477 476 100
477 478 100
477 507 100
478 448 100
478 477 100
478 479 100
478 508 100
479 449 100
479 478 100
479 509 100
480 450 100
480 481 100
480 510 100
481 451 100
481 480 100
481 482 100
481 511 100
482 452 100
482 481 100
482 483 100
482 512 100
483 453 100
483 482 100
483 484 100
483 513 100
484 454 100
484 483 100
484 485 100
484 514 100
485 455 100
485 484 100
485 486 100
485 515 100
486 456 100
486 485 100
486 487 100
486 516 100
487 457 100
487 486 100
487 488 100
487 517 100
488 458 100
488 487 100
488 489 100
488 518 100
489 459 100
489 488 100
489 490 100
489 519 100
490 460 100
490 489 100
490 491 100
490 520 100
491 461 100
491 490 100
491 492 100
491 521 100
492 462 100
492 491 100
492 493 100
492 522 100
493 463 100
493 492 100
493 494 100
493 523 100
494 464 100
494 493 100
494 495 100
494 524 100
495 465 100
495 494 100
495 496 100
495 525 100
496 466 100
496 495 100
496 497 100
496 526 100
497 467 100
497 496 100
497 498 100
497 527 99
498 468 100
498 497 100
498 499 100
498 528 100
499 469 100
499 498 100
499 500 100
499 529 100
500 470 100
500 499 100
500 501 91
500 530 100
501 471 99
501 500 91
501 502 52
501 531 99
502 472 99
502 501 52
502 503 7
502 532 100
503 473 98
503 502 7
503 504 1
503 533 100
504 474 99
504 503 1
504 505 30
504 534 99
505 475 100
505 504 30
505 506 95
505 535 99
506 476 100
506 505 95
506 507 100
506 536 100
507 477 100
507 506 100
507 508 100
507 537 100
508 478 100
508 507 100
508 509 100
508 538 100
509 479 100
509 508 100
509 539 100
510 480 100
510 511 100
510 540 100
511 481 100
511 510 100
511 512 100
511 541 100
512 482 100
512 511 100
512 513 100
512 542 100
513 483 100
513 512 100
513 514 100
513 543 100
514 484 100
514 513 100
514 515 100
514 544 100
515 485 100
515 514 100
515 516 100
515 545 100
516 486 100
516 515 100
516 517 100
516 546 100
517 487 100
517 516 100
517 518 100
517 547 100
518 488 100
518 517 100
518 519 100
518 548 100
519 489 100
519 518 100
519 520 100
519 549 100
520 490 100
520 519 100
520 521 100
520 550 100
521 491 100
521 520 100
521 522 100
521 551 100
522 492 100
522 521 100
522 523 100
522 552 100
523 493 100
523 522 100
523 524 100
523 553 100
524 494 100
524 523 100
524 525 100
524 554 100
525 495 100
525 524 100
525 526 100
525 555 100
526 496 100
526 525 100
526 527 99
526 556 99
527 497 99
527 526 99
527 528 99
527 557 99
528 498 100
528 527 99
528 529 100
528 558 100
529 499 100
529 528 100
529 530 100
529 559 100
530 500 100
530 529 100
530 531 92
530 560 100
531 501 99
531 530 92
531 532 50
531 561 100
532 502 100
532 531 50
532 533 7
532 562 99
533 503 100
533 532 7
533 534 2
533 563 99
534 504 99
534 533 2
534 535 30
534 564 100
535 505 99
535 534 30
535 536 94
535 565 99
536 506 100
536 535 94
536 537 100
536 566 100
537 507 100
537 536 100
537 538 100
537 567 100
538 508 100
538 537 100
538 539 100
538 568 100
539 509 100
539 538 100
539 569 100
540 510 100
540 541 100
540 570 100
541 511 100
541 540 100
541 542 100
541 571 100
542 512 100
542 541 100
542 543 100
542 572 100
543 513 100
543 542 100
543 544 100
543 573 99
544 514 100
544 543 100
544 545 100
544 574 100
545 515 100
545 544 100
545 546 100
545 575 100
546 516 100
546 545 100
546 547 100
546 576 100
547 517 100
547 546 100
547 548 100
547 577 100
548 518 100
548 547 100
548 549 100
548 578 100
549 519 100
549 548 100
549 550 100
549 579 100
550 520 100
550 549 100
550 551 100
550 580 100
551 521 100
551 550 100
551 552 100
551 581 100
552 522 100
552 551 100
552 553 100
552 582 100
553 523 100
553 552 100
553 554 100
553 583 100
554 524 100
554 553 100
554 555 100
554 584 100
555 525 100
555 554 100
555 556 99
555 585 100
556 526 99
556 555 99
556 557 99
556 586 99
557 527 99
557 556 99
557 558 100
557 587 99
558 528 100
558 557 100
558 559 100
558 588 100
559 529 100
559 558 100
559 560 100
559 589 100
560 530 100
560 559 100
560 561 92
560 590 100
561 531 100
561 560 92
561 562 54
561 591 100
562 532 99
562 561 54
562 563 5
562 592 99
563 533 99
563 562 5
563 564 2
563 593 99
564 534 100
564 563 2
564 565 32
564 594 98
565 535 99
565 564 32
565 566 93
565 595 99
566 536 100
566 565 93
566 567 100
566 596 100
567 537 100
567 566 100
567 568 100
567 597 100
568 538 100
568 567 100
568 569 100
568 598 100
569 539 100
569 568 100
569 599 100
570 540 100
570 571 100
570 600 99
571 541 100
571 570 100
571 572 100
571 601 100
572 542 100
572 571 100
572 573 99
572 602 100
573 543 99
573 572 99
573 574 99
573 603 99
574 544 100
574 573 99
574 575 100
574 604 100
575 545 100
575 574 100
575 576 100
575 605 99
576 546 100
576 575 100
576 577 100
576 606 100
577 547 100
577 576 100
577 578 100
577 607 100
578 548 100
578 577 100
578 579 100
578 608 100
579 549 100
579 578 100
579 580 100
579 609 99
580 550 100
580 579 100
580 581 100
580 610 99
581 551 100
581 580 100
581 582 100
581 611 100
582 552 100
582 581 100
582 583 100
582 612 99
583 553 100
583 582 100
583 584 100
583 613 99
584 554 100
584 583 100
584 585 100
584 614 99
585 555 100
585 584 100
585 586 100
585 615 100
586 556 99
586 585 100
586 587 99
586 616 99
587 557 99
587 586 99
587 588 99
587 617 99
588 558 100
588 587 99
588 589 100
588 618 99
589 559 100
589 588 100
589 590 100
589 619 100
590 560 100
590 589 100
590 591 92
590 620 100
591 561 100
591 590 92
591 592 46
591 621 98
592 562 99
592 591 46
592 593 6
592 622 96
593 563 99
593 592 6
593 594 1
593 623 89
594 564 98
594 593 1
594 595 37
594 624 98
595 565 99
595 594 37
595 596 95
595 625 99
596 566 100
596 595 95
596 597 100
596 626 100
597 567 100
597 596 100
597 598 100
597 627 100
598 568 100
598 597 100
598 599 100
598 628 100
599 569 100
599 598 100
599 629 100
600 570 99
